Artist Name,Popularity,Followers,Artist ID,Artist URL,Time Range,Genre(s)
Teethe,41,30994,3K2gErmF9xLdo6dqOj1VbI,https://open.spotify.com/artist/3K2gErmF9xLdo6dqOj1VbI,medium_term,"shoegaze, slowcore"
Jordana,64,208132,5Bw9kFNhy019e4IBCJZlzw,https://open.spotify.com/artist/5Bw9kFNhy019e4IBCJZlzw,medium_term,
The Smiths,80,7326494,3yY2gUcIsjMr8hjo51PoJ8,https://open.spotify.com/artist/3yY2gUcIsjMr8hjo51PoJ8,medium_term,"jangle pop, madchester, new wave"
Jack Stauber's Micropop,67,2217454,1yNIb413Bmfs2ZBVuPp9kC,https://open.spotify.com/artist/1yNIb413Bmfs2ZBVuPp9kC,medium_term,
Joey Bada$$,73,3763364,2P5sC9cVZDToPxyomzF1UH,https://open.spotify.com/artist/2P5sC9cVZDToPxyomzF1UH,medium_term,"hip hop, rap"
Karan Aujla,81,19080129,6DARBhWbfcS9E4yJzcliqQ,https://open.spotify.com/artist/6DARBhWbfcS9E4yJzcliqQ,medium_term,"bhangra, desi, desi hip hop, punjabi hip hop, punjabi pop"
KIDS SEE GHOSTS,59,1002528,2hPgGN4uhvXAxiXQBIXOmE,https://open.spotify.com/artist/2hPgGN4uhvXAxiXQBIXOmE,medium_term,
Mac DeMarco,82,7557604,3Sz7ZnJQBIHsXLUSo0OQtM,https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM,medium_term,"indie, lo-fi indie"
Gorillaz,83,13492228,3AA28KZvwAUcZuOKwyblJQ,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,medium_term,
Flume,73,2499861,6nxWCVXbOlEVRexSbLsTer,https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer,medium_term,future bass
Dreamville,66,788415,1iNqsUDUraNWrj00bqssQG,https://open.spotify.com/artist/1iNqsUDUraNWrj00bqssQG,medium_term,
Lupe Fiasco,70,1956239,01QTIT5P1pFP3QnnFSdsJf,https://open.spotify.com/artist/01QTIT5P1pFP3QnnFSdsJf,medium_term,
Yot Club,66,651097,6FugQjLquBF4JzATRN70bR,https://open.spotify.com/artist/6FugQjLquBF4JzATRN70bR,medium_term,bedroom pop
MGMT,77,3481847,0SwO7SWeDHJijQ3XNS7xEE,https://open.spotify.com/artist/0SwO7SWeDHJijQ3XNS7xEE,medium_term,indie
Metallica,85,31007486,2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,medium_term,"hard rock, heavy metal, metal, rock, thrash metal"
Current Joys,73,1668299,0m5FakHKCQdA7UN0PIzMcL,https://open.spotify.com/artist/0m5FakHKCQdA7UN0PIzMcL,medium_term,lo-fi indie
Danny Gonzalez,42,248022,6pDkmNhHCLh7YEb3sXceOs,https://open.spotify.com/artist/6pDkmNhHCLh7YEb3sXceOs,medium_term,
Chaar Diwaari,53,108898,2n4q8jLM4WLwlva1sZ2WRx,https://open.spotify.com/artist/2n4q8jLM4WLwlva1sZ2WRx,medium_term,"desi hip hop, hindi hip hop, hindi indie, indian indie"
Daft Punk,83,10658730,4tZwfgrHOc3mvqYlEYSvVi,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,medium_term,"electro, electronic, french house"
Jack Harlow,80,4229768,2LIk90788K0zvyj2JJVwkJ,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ,medium_term,
Vampire Weekend,67,2030439,5BvJzeQpmsdsFp4HGUYUEx,https://open.spotify.com/artist/5BvJzeQpmsdsFp4HGUYUEx,medium_term,"baroque pop, indie"
Tame Impala,82,8938798,5INjqkS1o8h1imAzPqGZBb,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,medium_term,"indie, neo-psychedelic"
Linkin Park,91,30396424,6XyY86QOPPrYVGvF9ch6wz,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,medium_term,"alternative metal, nu metal, rap metal, rock"
Saint Motel,66,755515,1dWEYMPtNmvSVaDNLgB6NV,https://open.spotify.com/artist/1dWEYMPtNmvSVaDNLgB6NV,medium_term,
Sex Bob-Omb,49,205814,0epidpyARaIPmKpFUwcgnJ,https://open.spotify.com/artist/0epidpyARaIPmKpFUwcgnJ,medium_term,
Megadeth,71,5941608,1Yox196W7bzVNZI7RBaPnf,https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf,medium_term,"heavy metal, metal, speed metal, thrash metal"
Diljit Dosanjh,79,32781242,2FKWNmZWDBZR4dE5KX4plR,https://open.spotify.com/artist/2FKWNmZWDBZR4dE5KX4plR,medium_term,"bhangra, bollywood, desi, punjabi hip hop, punjabi pop"
Chase Atlantic,83,9864950,7cYEt1pqMgXJdq00hAwVpT,https://open.spotify.com/artist/7cYEt1pqMgXJdq00hAwVpT,medium_term,
Jagjit Singh,66,4399340,2ijWbN5KykTYiBoVmhzCTU,https://open.spotify.com/artist/2ijWbN5KykTYiBoVmhzCTU,medium_term,"bhajan, devotional, ghazal, qawwali, sufi"
Laufey,82,7362339,7gW0r5CkdEUMm42w9XpyZO,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO,medium_term,
